time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-02-25 02:57:32,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,644.05203045218,0.328084,0,0,0,9,0,0,644.05203045218,0,0,0,0,0,0,329.1, 2.8, 0,0,0,364,1684,364,364,-100,100,-100,-100,333,0,84,4.12,4.119,4.116,0,0,0,0,71.06,644.05203045218,0,41,Motors_Started,"机身存储空间已满，请备份文件后清理存储空间 (Code: 10062). 飞机GPS信号弱，悬停不稳定，请谨慎起飞 (Code: 30008). 飞机GPS信号弱，悬停不稳定，请谨慎飞行 (Code: 30002). 机身存储空间已满，请备份文件后清理存储空间 (Code: 10062)"
100,2022-02-25 02:57:32,0,0,0,,,644.05203045218,0.328084,0,0,0,9,0,0,644.05203045218,0,0,0,0,0,0,329.1, 2.8, 0,0,0,364,1684,364,364,-100,100,-100,-100,333,0,84,4.12,4.119,4.116,0,0,0,0,71.06,644.05203045218,0,41,Motors_Started,
200,2022-02-25 02:57:32,0,0,0,,,644.05203045218,0.328084,0,0,0,9,0,0,644.05203045218,0,0,0,0,0,0,329.1, 2.8, 0,0,0,364,1684,364,364,-100,100,-100,-100,333,0,84,4.12,4.119,4.116,0,0,0,0,71.06,644.05203045218,0,41,Motors_Started,
300,2022-02-25 02:57:32,0,0,0,,,644.05203045218,0.328084,0,0,0,9,0,0,644.05203045218,0,0,0,0,0,0,329.1, 2.8, 0,0,0,364,1684,364,364,-100,100,-100,-100,333,0,84,4.12,4.119,4.116,0,0,0,0,71.06,644.05203045218,0,41,Motors_Started,
400,2022-02-25 02:57:32,0,0,0,,,644.05203045218,0.328084,0,0,0,9,0,0,644.05203045218,0,0,0,0,0,0,329.1, 2.8, 0,0,0,715,1141,933,1024,-47,18,-14,0,333,0,84,4.12,4.119,4.116,0,0,0,0,71.06,644.05203045218,0,41,Motors_Started,"Setting new Return-To-Home altitude to 150m (492 ft). Data Recorder File Index is 42"
500,2022-02-25 02:57:32,0,0,0,,,644.05203045218,0.328084,0,0,0,9,0,0,644.05203045218,0,0,0,0,0,0,329.1, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,0,71.06,644.05203045218,0,41,Motors_Started,
600,2022-02-25 02:57:32,0,0,0,,,644.05203045218,0.328084,0,0,0,9,0,0,644.05203045218,0,0,0,0,0,0,329.1, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,0,71.06,644.05203045218,0,41,Motors_Started,
700,2022-02-25 02:57:33,0,0,0,,,644.05203045218,0.328084,0,0,0,9,2,0,644.05203045218,0,0,0,0,0,0,329.1, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,0,71.06,644.05203045218,0,41,Motors_Started,
800,2022-02-25 02:57:33,0,0,0,,,644.05203045218,0.328084,0,0,0,9,2,0,644.05203045218,0,0,0,0,0,0,329.1, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,0,71.06,644.05203045218,0,41,Motors_Started,
900,2022-02-25 02:57:33,0,0,0,,,644.05203045218,0.328084,0,0,0,9,2,12.479,644.05203045218,0,0,0,0,0,0,329.1, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,1.46,71.06,644.05203045218,0,41,Motors_Started,
1000,2022-02-25 02:57:33,0,0,0,,,644.05203045218,0.328084,0,0,0,9,2,12.479,644.05203045218,0,0,0,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,1.46,71.06,644.05203045218,0,41,Motors_Started,
1100,2022-02-25 02:57:33,0,0,0,,,644.05203045218,0.328084,0,0,0,9,2,12.479,644.05203045218,0,0,0,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,1.46,71.06,644.05203045218,0,41,Motors_Started,
1200,2022-02-25 02:57:33,0,0,0,,,644.05203045218,0.328084,0,0,0,9,2,12.479,644.05203045218,0,0,0,0,0,0,329.2, 2.7, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,1.46,71.06,644.05203045218,0,41,Motors_Started,
1300,2022-02-25 02:57:33,0,0,0,,,644.05203045218,0.328084,0,0,0,9,2,12.479,644.05203045218,0,0,0,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,1.46,71.06,644.05203045218,0,41,Motors_Started,
1400,2022-02-25 02:57:33,38.6132530582919,114.377485285639,0,,,644.05203045218,0.328084,0,0,0,9,2,12.479,644.05203045218,0,0,0,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,1.46,71.06,644.05203045218,0,41,Motors_Started,
1500,2022-02-25 02:57:33,38.6132530576603,114.377485288063,0,,,644.05203045218,0.328084,0,0.0007284449052,0.0007284449052,9,2,12.479,644.05203045218,0,0,0.0007284449052,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,1.46,71.06,644.05203045218,0,10,Assisted_Takeoff,
1600,2022-02-25 02:57:33,38.6132532133367,114.377485126809,0,,,644.05203045218,0.328084,0,0.072458663736,0.073799871128,9,2,12.479,644.05203045218,0,0,0.072458663736,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,1.46,71.06,644.05203045218,0,10,Assisted_Takeoff,
1700,2022-02-25 02:57:33,38.613253226369,114.377485114799,0,,,644.05203045218,0.328084,0,0.078310698044,0.079659123284,9,2,12.479,644.05203045218,0,0,0.078310698044,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,1.46,71.06,644.05203045218,0,10,Assisted_Takeoff,
1800,2022-02-25 02:57:34,38.6132533592637,114.377484977374,0,,,644.05203045218,0.328084,0,0.140646001876,0.141995411368,9,2,12.479,644.05203045218,0,0,0.140646001876,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.12,4.119,4.116,0,0,0,1.46,71.06,644.05203045218,0,10,Assisted_Takeoff,谨慎飞行（无GPS）
1900,2022-02-25 02:57:34,38.6132533843708,114.377484952828,0,,,644.05203045218,0.328084,0,0.152170608544,0.153522970792,9,2,12.311,644.05203045218,0,0,0.152170608544,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,
2000,2022-02-25 02:57:34,38.6132534978477,114.377484994581,0,,,644.05203045218,0.328084,0,0.180566278744,0.196602040412,9,2,12.311,644.05203045218,0,0,0.180566278744,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,
2100,2022-02-25 02:57:34,38.6132535325226,114.377484974853,0,,,644.05203045218,0.328084,0,0.194388457664,0.210446857128,9,2,12.311,644.05203045218,0,0,0.194388457664,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,
2200,2022-02-25 02:57:34,38.6132534712959,114.377484854567,0,,,644.05203045218,0.328084,0,0.194443575776,0.25137303954,9,2,12.311,644.05203045218,0,0,0.194443575776,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,
2300,2022-02-25 02:57:34,38.6132534998396,114.377484825113,0,,,644.05203045218,0.328084,0,0.207820872792,0.264750336556,9,3,12.311,644.05203045218,0,0,0.207820872792,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,"机身存储空间已满，请备份文件后清理存储空间 (Code: 10062)"
2400,2022-02-25 02:57:34,38.61325360539,114.377485036943,0,,,644.05203045218,0.328084,0,0.211826122264,0.33637468268,9,3,12.311,644.05203045218,0,0,0.211826122264,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,
2500,2022-02-25 02:57:34,38.6132536420656,114.377485027899,0,,,644.05203045218,0.328084,0,0.225307749992,0.3500000112,9,3,12.311,644.05203045218,0,0,0.225307749992,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,
2600,2022-02-25 02:57:34,38.6132537327854,114.377485051054,0,,,644.05203045218,0.328084,0,0.255013787688,0.38375329312,9,3,12.311,644.05203045218,0,0,0.255013787688,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,
2700,2022-02-25 02:57:35,38.6132537762856,114.377485046329,0,,,644.05203045218,0.328084,0,0.270697843308,0.39967849048,9,3,12.311,644.05203045218,0,0,0.270697843308,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,
2800,2022-02-25 02:57:35,38.6132536967438,114.377485221077,0,,,644.05203045218,0.328084,0,0.23366470564,0.45733597264,9,3,12.311,644.05203045218,0,0,0.270697843308,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,
2900,2022-02-25 02:57:35,38.6132537307924,114.377485232614,0,,,644.05203045218,0.328084,0,0.24582677952,0.47018374208,9,3,12.311,644.05203045218,0,0,0.270697843308,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.109,4.111,4.119,0,0,0,3.934,71.06,644.05203045218,0,10,Assisted_Takeoff,
3000,2022-02-25 02:57:35,38.6132536652,114.377485063205,0,,,644.05203045218,0.328084,0,0.230331044116,0.52408466244,9,3,12.432,644.05203045218,0,0,0.270697843308,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.145,4.146,4.143,0,0,0,1.7,71.06,644.05203045218,0,10,Assisted_Takeoff,
3100,2022-02-25 02:57:35,38.6132536917931,114.377485061177,0,,,644.05203045218,0.328084,0,0.239827107412,0.53380579136,9,3,12.432,644.05203045218,0,0,0.270697843308,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.145,4.146,4.143,0,0,0,1.7,71.06,644.05203045218,0,10,Assisted_Takeoff,
3200,2022-02-25 02:57:35,38.6132537918888,114.377485071295,0,,,644.05203045218,0.328084,0,0.27453905078,0.5704396508,9,3,12.432,644.05203045218,0,0,0.27453905078,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.145,4.146,4.143,0,0,0,1.7,71.06,644.05203045218,0,10,Assisted_Takeoff,
3300,2022-02-25 02:57:35,38.6132538255586,114.377485071308,0,,,644.05203045218,0.328084,0,0.286527896308,0.58272311576,9,3,12.432,644.05203045218,0,0,0.286527896308,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.145,4.146,4.143,0,0,0,1.7,71.06,644.05203045218,0,10,Assisted_Takeoff,
3400,2022-02-25 02:57:35,38.6132537591228,114.377485077789,0,,,644.05203045218,0.328084,0,0.26247376168,0.60703085932,9,3,12.432,644.05203045218,0,0,0.286527896308,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.145,4.146,4.143,0,0,0,1.7,71.06,644.05203045218,0,10,Assisted_Takeoff,
3500,2022-02-25 02:57:35,38.6132537848899,114.377485078128,0,,,644.05203045218,0.328084,0,0.271619431264,0.61643374676,9,3,12.432,644.05203045218,0,0,0.286527896308,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.145,4.146,4.143,0,0,0,1.7,71.06,644.05203045218,0,10,Assisted_Takeoff,
3600,2022-02-25 02:57:35,38.6132538888203,114.377485080845,0,,,644.05203045218,0.328084,0,0.308591217224,0.65436025716,9,3,12.432,644.05203045218,0,0,0.308591217224,0,0,0,329.2, 2.8, 0,0,0,1024,1024,1024,1024,0,0,0,0,333,0,84,4.145,4.146,4.143,0,0,0,1.7,71.06,644.05203045218,0,10,Assisted_Takeoff,
